@relation risco_credito

@attribute rangeIdade string
@attribute numeroDependentes numeric
@attribute estadoCivil string
@attribute escolaridade string
@attribute tempoEnderecoAnos numeric
@attribute nivelInadimplenciaEstado numeric
@attribute tipoContratoResidencia string
@attribute tipoEmprego string
@attribute tempoEmpregoAtual numeric
@attribute salarioLiquidoMensal numeric
@attribute montanteInvestimentos numeric
@attribute montanteBens numeric
@attribute saldo numeric
@attribute restanteMensal numeric
@attribute estaInadimplente {0,1}
@attribute valorParcelaAtiva numeric
@attribute mesesAtrasado numeric
@attribute valorCreditoRestanteTotal numeric
@attribute seraInadimplente {0,1}

@data
'acima de 60',2,'Solteiro','Sem Escolaridade',62,48,'Locatario','CLT',44,2868.00,0.00,56445.00,29332.00,-28801.00,0,720.36,0,730.00,0
'41 a 60',1,'Solteiro','Sem Escolaridade',44,41,'Locatario','CLT',24,1564.00,0.00,26087.00,22635.00,-37292.00,0,0.00,0,0.00,1
'acima de 60',1,'Solteiro','Sem Escolaridade',18,44,'Locatario','CLT',32,1518.00,0.00,88468.00,7880.00,2954.00,1,1078.32,86,29884.47,1
'26 a 40',4,'Solteiro','Sem Escolaridade',2,47,'Proprietario','CLT',2,2028.00,0.00,51915.00,34096.00,0.00,0,0.00,0,0.00,0
'41 a 60',3,'Solteiro','Doutorado',42,43,'Proprietario','Autonomo',27,2054.00,0.00,41730.00,21525.00,0.00,1,1158.08,19,6711.15,1
'41 a 60',0,'Solteiro','Sem Escolaridade',41,49,'Locatario','CLT',6,1518.00,0.00,110854.00,18409.00,238.00,1,1317.02,12,42538.30,1
'41 a 60',1,'Solteiro','Sem Escolaridade',7,47,'Locatario','CLT',21,2850.00,420129.00,414292.00,293935.00,133315.00,1,1790.97,54,20692.86,1
'acima de 60',0,'Solteiro','Sem Escolaridade',36,41,'Locatario','CLT',36,2953.00,0.00,10601.00,2758.00,1440.00,0,0.00,0,0.00,1
'acima de 60',3,'Solteiro','Sem Escolaridade',63,44,'Locatario','CLT',44,1953.00,507562.00,573275.00,320617.00,0.00,1,351.07,77,4937.50,1
'41 a 60',4,'Viuvo','Ensino Fundamental Completo',58,37,'Proprietario','PJ',11,1518.00,0.00,85357.00,34121.00,0.00,0,0.00,0,0.00,0
'acima de 60',0,'Solteiro','Sem Escolaridade',32,43,'Locatario','CLT',35,1518.00,0.00,46707.00,19656.00,1764.00,1,2046.49,97,34183.33,1
'até 25',2,'Solteiro','Sem Escolaridade',22,56,'Locatario','CLT',4,1518.00,321655.00,617078.00,109429.00,-333781.00,0,814.02,0,31275.76,1
'41 a 60',3,'Solteiro','Superior Incompleto',23,56,'Locatario','Autonomo',31,3489.00,417796.00,722822.00,333899.00,77934.00,1,3431.41,69,16105.53,1
'acima de 60',1,'Solteiro','Sem Escolaridade',87,61,'Locatario','CLT',19,11460.00,336030.00,247657.00,225485.00,129934.00,1,229.63,6,13203.92,1
'acima de 60',1,'Solteiro','Ensino Médio Completo',29,43,'Proprietario','PJ',17,3208.00,160362.00,580195.00,306461.00,0.00,0,0.00,0,0.00,0
'acima de 60',2,'Solteiro','Superior Incompleto',34,51,'Proprietario','Autonomo',46,2031.00,0.00,13513.00,10284.00,3841.00,0,0.00,0,0.00,0
'41 a 60',0,'Casado','Sem Escolaridade',43,44,'Proprietario','CLT',25,1518.00,0.00,95603.00,5946.00,0.00,1,376.11,17,10342.83,1
'41 a 60',1,'Solteiro','Sem Escolaridade',54,36,'Locatario','CLT',21,2402.00,0.00,65006.00,46082.00,33921.00,0,0.00,0,0.00,0
'41 a 60',2,'Solteiro','Sem Escolaridade',40,50,'Locatario','CLT',18,3493.00,0.00,46342.00,7135.00,0.00,0,3067.63,0,48354.24,1
'acima de 60',1,'Solteiro','Sem Escolaridade',64,51,'Locatario','CLT',47,2007.00,0.00,27791.00,27056.00,-76526.00,1,1314.88,34,71052.00,1
'41 a 60',0,'Casado','Ensino Médio Completo',52,51,'Proprietario','CLT',37,1518.00,0.00,115906.00,76376.00,54935.00,0,0.00,0,0.00,0
'acima de 60',3,'Solteiro','Sem Escolaridade',81,41,'Locatario','CLT',17,1575.00,0.00,25741.00,2682.00,1850.00,1,10.67,29,633.92,1
'41 a 60',0,'Casado','Ensino Médio Incompleto',10,50,'Locatario','Autonomo',30,1520.00,0.00,93173.00,53836.00,-5559.00,0,0.00,0,0.00,0
'acima de 60',4,'Viuvo','Superior Incompleto',34,54,'Locatario','CLT',10,3854.00,243506.00,403795.00,137994.00,110136.00,1,973.09,12,31343.48,1
'26 a 40',0,'Casado','Mestrado',37,41,'Locatario','CLT',18,3068.00,0.00,89785.00,54379.00,0.00,0,303.50,0,12300.00,0
'acima de 60',3,'Viuvo','Ensino Médio Completo',64,61,'Proprietario','PJ',11,1935.00,0.00,35422.00,10278.00,-9041.00,0,0.00,0,0.00,1
'41 a 60',3,'Solteiro','Pós-graduação',32,43,'Proprietario','Autonomo',17,2994.00,0.00,70352.00,39658.00,18361.00,0,0.00,0,0.00,0
