@relation risco_credito

@attribute rangeIdade string
@attribute numeroDependentes numeric
@attribute estadoCivil string
@attribute escolaridade string
@attribute tempoEnderecoAnos numeric
@attribute nivelInadimplenciaEstado numeric
@attribute tipoContratoResidencia string
@attribute tipoEmprego string
@attribute tempoEmpregoAtual numeric
@attribute salarioLiquidoMensal numeric
@attribute montanteInvestimentos numeric
@attribute montanteBens numeric
@attribute saldo numeric
@attribute restanteMensal numeric
@attribute estaInadimplente {0,1}
@attribute valorParcelaAtiva numeric
@attribute mesesAtrasado numeric
@attribute valorCreditoRestanteTotal numeric
@attribute seraInadimplente {0,1}

@data
'acima de 60',1,'Solteiro','Sem Escolaridade',59,41,'Locatario','CLT',8,15109.00,257728.00,701784.00,175329.00,0.00,0,0.00,0,0.00,0
'26 a 40',2,'Solteiro','Sem Escolaridade',29,49,'Locatario','CLT',8,3330.00,0.00,88946.00,24243.00,-12353.00,0,7493.71,0,399304.53,1
'41 a 60',1,'Solteiro','Sem Escolaridade',13,43,'Locatario','CLT',0,2588.00,0.00,11529.00,1326.00,0.00,1,560.99,4,9085.76,1
'41 a 60',3,'Solteiro','Sem Escolaridade',4,43,'Locatario','CLT',29,1518.00,0.00,41570.00,37837.00,8602.00,0,0.00,0,0.00,0
'acima de 60',0,'Solteiro','Sem Escolaridade',52,51,'Locatario','CLT',46,2931.00,0.00,82430.00,14619.00,-13269.00,0,0.00,0,0.00,1
'acima de 60',4,'Casado','Ensino Médio Incompleto',38,46,'Proprietario','Autonomo',45,1893.00,0.00,76070.00,51375.00,0.00,0,518.50,0,34350.36,1
'41 a 60',0,'Viuvo','Ensino Fundamental Completo',49,46,'Proprietario','CLT',27,2160.00,0.00,49807.00,2184.00,524.00,1,3872.20,67,68755.00,1
'acima de 60',1,'Viuvo','Ensino Médio Incompleto',12,44,'Proprietario','Autonomo',43,1758.00,0.00,17822.00,9989.00,3600.00,0,14250.68,0,543102.94,1
'41 a 60',4,'Solteiro','Ensino Fundamental Completo',31,41,'Proprietario','PJ',1,2985.00,0.00,24460.00,2130.00,1297.00,1,29760.64,38,52552.13,1
'acima de 60',4,'Solteiro','Ensino Médio Completo',88,44,'Locatario','PJ',68,1518.00,0.00,43260.00,37369.00,0.00,1,7696.85,76,296810.15,1
'acima de 60',2,'Solteiro','Sem Escolaridade',22,54,'Locatario','CLT',44,1518.00,0.00,97917.00,65850.00,30493.00,0,5932.94,0,153270.00,1
'acima de 60',4,'Solteiro','Sem Escolaridade',66,61,'Locatario','CLT',40,16922.00,40062.00,671309.00,383149.00,-131795.00,0,1117.78,0,62422.73,1
'acima de 60',1,'Solteiro','Técnico',77,42,'Locatario','CLT',20,4824.00,369840.00,93111.00,51719.00,0.00,0,945.08,0,35297.31,0
'41 a 60',1,'Solteiro','Sem Escolaridade',17,56,'Locatario','CLT',9,3252.00,358048.00,163496.00,78198.00,-109625.00,0,1008.61,0,70442.35,1
'acima de 60',4,'Casado','Ensino Médio Incompleto',77,47,'Locatario','PJ',57,1518.00,0.00,50540.00,32074.00,-73009.00,0,0.00,0,0.00,1
